method,n,last5_eval_mean,last5_eval_sd,final_eval_mean,final_eval_sd,msg_acc_mean,msg_acc_sd
mappo-no-comm,8,0.43416666666666665,0.44408189577906704,1.23125,1.763529053410298,0.0,0.0
mappo-comm,8,1.7199999999999998,1.9505082772658358,1.3458333333333332,1.752951026579836,0.0,0.0
mappo-intent-aux,8,5.27125,2.895274714876496,5.020833333333333,4.695875850147659,0.5799130129718105,0.05880514272003342
