suite,method,regime,n,seeds,eval_final_mean,eval_final_sd,eval_last5_mean,eval_last5_sd,eval_mean_all_mean,eval_mean_all_sd,train_last50_mean,train_last50_sd,msg_acc_last50_mean,msg_acc_last50_sd,msg_loss_last50_mean,msg_loss_last50_sd,entropy_last50_mean,entropy_last50_sd
main,mappo-comm,baseline,8,0 1 2 3 4 5 6 7,28.933333333333334,14.531383661272974,22.15041666666667,14.607726422347824,6.69203125,3.912009423561595,66.98375,27.8626605936537,0.0,0.0,0.0,0.0,2.310258653415367,0.24101583876232882
main,mappo-comm,dropout-only,8,0 1 2 3 4 5 6 7,20.277083333333334,5.597079294327009,11.691666666666666,4.7859168400631455,3.5384375,1.1570592459810853,32.72,17.45165403540388,0.0,0.0,0.0,0.0,2.3265953820804133,0.21336389276508536
main,mappo-intent-aux,baseline,8,0 1 2 3 4 5 6 7,33.13333333333333,9.10559744123936,31.734583333333333,14.39780372774055,10.275208333333333,5.5520607678447895,114.6275,39.51312901157936,0.54913330078125,0.06279358492949176,0.9063033908698708,0.1191183098314517,1.5863723168242723,0.2678142156663539
main,mappo-intent-aux,dropout-only,8,0 1 2 3 4 5 6 7,28.58125,8.851595845266349,18.377083333333335,5.930974768648844,6.32078125,2.581583397677035,60.675000000000004,21.989444870534722,0.571737892923993,0.07188757698418845,0.8929174260707805,0.14782054710778067,1.4645657664164902,0.17926102203691793
main,mappo-no-comm,baseline,8,0 1 2 3 4 5 6 7,41.93958333333333,17.14458806158921,33.54666666666667,12.688271424667418,9.50171875,3.5365785820954563,108.47625,22.209375714838476,0.0,0.0,0.0,0.0,0.5654008346120827,0.13664085414680607
main,mappo-no-comm,dropout-only,8,0 1 2 3 4 5 6 7,30.714583333333334,18.948869040046304,20.002916666666668,11.990742253988588,5.84890625,3.0544063761051614,52.015,34.01644098289616,0.0,0.0,0.0,0.0,0.6152555172105348,0.43150459289387433
noecho_t100,mappo-comm,dropout-only,8,0 1 2 3 4 5 6 7,22.570833333333333,16.069202403137993,11.177083333333334,8.318965602193352,3.3471875,2.0915002631351602,31.94375,24.13106470772832,0.0,0.0,0.0,0.0,2.4202531902398916,0.4856761960528566
noecho_t100,mappo-intent-aux,dropout-only,8,0 1 2 3 4 5 6 7,35.1625,8.53280202028972,25.47,7.400369574640839,8.956666666666667,2.8327161355075945,72.405,15.904877059748506,0.534417181207682,0.02793526747437478,0.9661171490466223,0.04477004976621325,1.3983935275115074,0.24220900800546316
stress_t50,mappo-comm,dropout-only,8,0 1 2 3 4 5 6 7,17.960416666666667,7.073794347325484,8.125,5.080347444686255,2.3109895833333334,0.8600860784688892,22.32875,20.458819570402536,0.0,0.0,0.0,0.0,2.4901488392986355,0.43616439246031075
stress_t50,mappo-intent-aux,dropout-only,8,0 1 2 3 4 5 6 7,28.675,8.188624513834508,17.865000000000002,4.366492908211384,5.894791666666666,2.269522306128731,57.44,12.8865012429951,0.5881667611416196,0.04469972501494057,0.8579516433586832,0.07428146365576184,1.4812678906181826,0.1620356156156233
stress_t50,mappo-no-comm,dropout-only,8,0 1 2 3 4 5 6 7,20.58125,11.274153744682133,10.432500000000001,8.16791627951746,3.158489583333333,2.474958983721983,27.6625,28.81317940010885,0.0,0.0,0.0,0.0,0.8616193930985173,0.37202799262167235
