suite,method,regime,seed,eval_final,eval_last5,eval_mean_all,train_last50,msg_acc_last50,msg_loss_last50,entropy_last50,updates
main,mappo-comm,baseline,0,28.75,19.746666666666666,6.095000000000001,76.17,0.0,0.0,2.104614411070943,1000
main,mappo-comm,baseline,1,16.65,20.726666666666667,5.711666666666667,50.44,0.0,0.0,2.6535904930531977,1000
main,mappo-comm,baseline,2,33.166666666666664,15.75,4.361666666666666,62.96,0.0,0.0,2.0912209329009057,1000
main,mappo-comm,baseline,3,16.65,12.486666666666666,4.474166666666667,41.52,0.0,0.0,2.3037830577790737,1000
main,mappo-comm,baseline,4,12.5,7.473333333333334,3.6425000000000005,34.88,0.0,0.0,2.6223860290646552,1000
main,mappo-comm,baseline,5,53.56666666666667,42.61,12.561666666666667,92.05,0.0,0.0,2.3991931988298894,1000
main,mappo-comm,baseline,6,24.95,11.626666666666667,3.53625,59.01,0.0,0.0,2.3020376002788545,1000
main,mappo-comm,baseline,7,45.233333333333334,46.78333333333334,13.153333333333332,118.84,0.0,0.0,2.005243504345417,1000
main,mappo-comm,dropout-only,0,20.666666666666668,16.393333333333334,5.375,46.75,0.0,0.0,2.1990079716593027,1000
main,mappo-comm,dropout-only,1,14.15,7.75,2.9245833333333335,17.23,0.0,0.0,2.730813190937042,1000
main,mappo-comm,dropout-only,2,12.5,5.3100000000000005,2.3895833333333334,11.25,0.0,0.0,2.566995709389448,1000
main,mappo-comm,dropout-only,3,18.25,11.003333333333334,3.25,25.82,0.0,0.0,2.3097358965873718,1000
main,mappo-comm,dropout-only,4,21.616666666666667,10.7,3.0741666666666667,43.64,0.0,0.0,2.1702765748649835,1000
main,mappo-comm,dropout-only,5,22.966666666666665,9.746666666666666,2.4670833333333335,28.28,0.0,0.0,2.2228227350115777,1000
main,mappo-comm,dropout-only,6,30.6,20.436666666666667,5.227083333333334,64.08,0.0,0.0,2.1146358838677406,1000
main,mappo-comm,dropout-only,7,21.466666666666665,12.193333333333332,3.6,24.71,0.0,0.0,2.2984750943258403,1000
main,mappo-intent-aux,baseline,0,37.36666666666667,40.980000000000004,13.7975,143.66,0.51990234375,0.9603681093454361,1.4664524237811565,1000
main,mappo-intent-aux,baseline,1,12.5,6.636666666666668,2.9137500000000003,45.16,0.464619140625,1.0546204069256782,2.2194532005488874,1000
main,mappo-intent-aux,baseline,2,37.3,40.43333333333333,10.91625,129.87,0.5033642578125,1.0156055817753076,1.5914853635430335,1000
main,mappo-intent-aux,baseline,3,37.36666666666667,45.50666666666667,18.69291666666667,129.09,0.5599755859375,0.8650616664811969,1.5100970442593098,1000
main,mappo-intent-aux,baseline,4,37.11666666666667,34.68666666666667,8.176666666666666,132.64,0.5736962890625,0.8872111488878727,1.354295331016183,1000
main,mappo-intent-aux,baseline,5,33.18333333333333,11.616666666666665,2.63375,57.57,0.6783251953125,0.6606490266695618,1.6074137887358666,1000
main,mappo-intent-aux,baseline,6,41.35,37.81,10.970416666666667,139.28,0.5400732421875,0.8996725984662771,1.4645483838021756,1000
