method,n,seeds,eval_final_mean,eval_final_sd,eval_last5_mean,eval_last5_sd,eval_mean_all_mean,eval_mean_all_sd,train_last50_mean,train_last50_sd,msg_acc_last50_mean,msg_acc_last50_sd,msg_loss_last50_mean,msg_loss_last50_sd,entropy_last50_mean,entropy_last50_sd
mappo-comm,8,0 1 2 3 4 5 6 7,19.391666666666666,6.367196437694574,11.362083333333333,5.614855561471771,3.5074479166666666,1.6609159782423535,32.27625,21.14075612751013,0.0,0.0,0.0,0.0,2.478467823974788,0.38257991273556524
mappo-intent-aux,8,0 1 2 3 4 5 6 7,31.58125,16.001625506466723,20.765416666666667,9.867893253471319,7.150625,4.9186549551132694,56.28625,18.62129651577922,0.5611536791795515,0.027574076939613865,0.9113735033653211,0.052460161637677714,1.5507718953490257,0.2654505501367112
mappo-no-comm,8,0 1 2 3 4 5 6 7,23.45,10.142081906434466,12.900416666666667,7.683645885079659,3.51265625,2.273155932558345,37.05625,23.31228979223497,0.0,0.0,0.0,0.0,0.7336886845609842,0.3357412365810362
