method,n,last5_eval_mean,last5_eval_sd,final_eval_mean,final_eval_sd,msg_acc_mean,msg_acc_sd
mappo-no-comm,8,1.195,1.4339622097697065,2.0833333333333335,2.3590420439405833,0.0,0.0
mappo-comm,8,2.3625000000000003,1.8992527770444647,3.004166666666667,3.35879265439802,0.0,0.0
mappo-intent-aux,8,8.336666666666666,2.317488377738361,11.022916666666667,6.22923176427205,0.6157533145899652,0.060306407588454625
