step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.010347972391173244,0.06274398253299296,3.6803369969129562,0.0,0.0,0.010237656650133431,0.1494140625,0.8603000640869141,595.1411854692991,1.0,,
1024,0.0,500.0,1.0,-0.010196229675784707,0.003575964779884089,3.685544937849045,0.0,0.0,-0.0015964072663336992,0.0244140625,1.642143964767456,623.5750469935251,2.0,,
1536,0.0,500.0,1.0,-0.008778854156844318,0.01006505696568638,3.6686517000198364,0.0,0.0,0.01103362359572202,0.0439453125,2.4260029792785645,633.1401952592696,3.0,,
2048,0.0,500.0,1.0,-0.005311876244377345,0.006804842181736603,3.6359968930482864,0.0,0.0,0.0049897118005901575,0.05224609375,3.1843059062957764,643.1542886475964,4.0,,
2560,0.0,500.0,1.0,-0.009360541822388768,0.004162357174209319,3.6429079324007034,0.0,0.0,0.0031322063878178596,0.04248046875,4.2588348388671875,601.1033761245687,5.0,,
3072,0.0,500.0,1.0,-0.010518924857024103,0.0018013935041381046,3.5445396155118942,0.0,0.0,0.005059179617092013,0.07373046875,5.154565095901489,595.9765650146928,6.0,,
3584,0.0,500.0,1.0,-0.010160505713429302,0.0020651134254876524,3.5274749398231506,0.0,0.0,4.225305747240782e-05,0.134765625,5.980103969573975,599.3206837598386,7.0,,
4096,0.0,500.0,1.0,-0.0076778538059443235,0.0018287642196810339,3.603177919983864,0.0,0.0,0.00895601324737072,0.04638671875,6.792280912399292,603.0374851727292,8.0,,
4608,0.0,500.0,1.0,-0.010503811528906226,0.0012659878739214037,3.634574607014656,0.0,0.0,0.008586019859649241,0.0390625,7.635922908782959,603.4633999119878,9.0,,
5120,0.0,500.0,1.0,-0.011898834491148591,0.0037160214269533753,3.5120157599449158,0.0,0.0,0.007332191336899996,0.126953125,8.430565118789673,607.3139733644628,10.0,,
5632,0.0,500.0,1.0,-0.008349294192157686,0.0014503061211144086,3.5418972820043564,0.0,0.0,0.002785776974633336,0.0966796875,9.245989799499512,609.1289436967432,11.0,,
6144,0.0,500.0,1.0,-0.006828787212725729,0.003501460472762119,3.5820697396993637,0.0,0.0,0.00712226890027523,0.0498046875,10.04715895652771,611.5161536294994,12.0,,
6656,0.0,500.0,1.0,-0.0111535987816751,0.0012972580334462691,3.630781427025795,0.0,0.0,0.0052237448981031775,0.01953125,10.858686923980713,612.9654576651116,13.0,,
7168,0.0,500.0,1.0,-0.004752361332066357,0.0008774740490480326,3.603770822286606,0.0,0.0,0.0017168887425214052,0.0166015625,11.638370037078857,615.8938044729083,14.0,,
7680,0.0,500.0,1.0,-0.013045010040514171,0.0006908897703397088,3.6281469017267227,0.0,0.0,0.0069568263133987784,0.07666015625,12.435297966003418,617.5967814358916,15.0,,
8192,0.0,500.0,1.0,-0.01082897518062964,0.0005165021184438956,3.562016114592552,0.0,0.0,0.003586142440326512,0.1044921875,13.251394033432007,618.1991101715308,16.0,,
8704,0.0,500.0,1.0,-0.007627448067069054,0.0005533725452551153,3.6081248819828033,0.0,0.0,0.0006272686878219247,0.0537109375,14.044137001037598,619.7604024623897,17.0,,
9216,0.0,500.0,1.0,-0.013070965360384434,0.00049212158728551,3.5588692277669907,0.0,0.0,0.001623045071028173,0.0595703125,14.843605995178223,620.8733917481852,18.0,,
9728,0.0,500.0,1.0,-0.007398688641842455,0.001997938696149504,3.57740218937397,0.0,0.0,0.006133657647296786,0.029296875,15.630107879638672,622.3885385124345,19.0,,
10240,1.0,500.0,1.0,-0.006922561762621626,0.00350432624691166,3.579882323741913,0.0,0.0,0.004873514990322292,0.0244140625,16.39426875114441,624.6085235906111,20.0,,
10752,0.5,500.0,1.0,-0.010013613908085972,0.0009023756665555993,3.5913483947515488,0.0,0.0,0.011364942183718085,0.083984375,17.18279790878296,625.742097246231,21.0,,
11264,0.0,500.0,1.0,-0.007960771210491657,0.0007091860243235715,3.6045752465724945,0.0,0.0,0.008413618546910584,0.021484375,18.006721019744873,625.544205835627,22.0,,
11776,0.0,500.0,1.0,-0.012853544438257813,0.0005862018952029757,3.581093356013298,0.0,0.0,0.005162686109542847,0.07373046875,18.8109450340271,626.018521594657,23.0,,
12288,0.0,500.0,1.0,-0.01268070307560265,0.0007295778650586726,3.580470934510231,0.0,0.0,0.010675556375645101,0.109375,19.65444803237915,625.2019888707376,24.0,,
