step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.011367861414328218,0.07237295602681115,1.6030385196208954,0.0,0.0,-0.0013195180799812078,0.09765625,0.44306111335754395,1155.5967891653434,1.0,,
1024,0.0,500.0,1.0,-0.0030103138415142894,0.021734144014772028,1.603420302271843,0.0,0.0,0.0015226584509946406,0.0029296875,0.7647991180419922,1338.913677910094,2.0,,
1536,0.0,500.0,1.0,-0.0031724466243758798,0.009566439781337976,1.5909325703978539,0.0,0.0,0.0026202822336927056,0.01318359375,1.0848782062530518,1415.8271326189056,3.0,,
2048,0.0,500.0,1.0,-0.003015096881426871,0.007633279616129585,1.579695239663124,0.0,0.0,0.0010899144690483809,0.00244140625,1.410444974899292,1452.0240324485048,4.0,,
2560,0.0,500.0,1.0,-0.007855332805775106,0.006034990990883671,1.5041989088058472,0.0,0.0,0.01046865648822859,0.17724609375,1.8481988906860352,1385.1323106517775,5.0,,
3072,0.0,500.0,1.0,-0.013605693820863962,0.0028391471205395646,1.5573043301701546,0.0,0.0,0.005017607327317819,0.07080078125,2.1767220497131348,1411.2964034176307,6.0,,
3584,0.0,500.0,1.0,-0.007264545885846019,0.003324233795865439,1.5266418233513832,0.0,0.0,0.0024255172756966203,0.06103515625,2.512465000152588,1426.487533073032,7.0,,
4096,0.0,500.0,1.0,-0.0017379636410623789,0.0023243541072588414,1.5276339203119278,0.0,0.0,0.005978178436635062,0.0205078125,2.8492870330810547,1437.5526061236526,8.0,,
4608,0.0,500.0,1.0,-0.003925997240003198,0.0038528075092472136,1.4334277287125587,0.0,0.0,0.002619008271722123,0.0458984375,3.18898606300354,1444.973389334905,9.0,,
5120,0.0,500.0,1.0,-0.004859451379161328,0.0013654508729814552,1.4475885927677155,0.0,0.0,0.0007431315025314689,0.04248046875,3.5179359912872314,1455.398851110581,10.0,,
5632,0.0,500.0,1.0,-0.003661641094367951,0.009533472781185992,1.4083391577005386,0.0,0.0,8.51504155434668e-05,0.00244140625,3.856221914291382,1460.496860703862,11.0,,
6144,0.0,500.0,1.0,-0.007550484500825405,0.009884771585348062,1.4934014081954956,0.0,0.0,0.008010608813492581,0.068359375,4.194973945617676,1464.6098115623329,12.0,,
6656,0.0,500.0,1.0,-0.0054670588579028845,0.0021045321482233703,1.526905432343483,0.0,0.0,0.0018733605393208563,0.0341796875,4.521303176879883,1472.141933333755,13.0,,
7168,0.0,500.0,1.0,-0.0004336367128416896,0.0021988992957631126,1.440001331269741,0.0,0.0,0.001039477763697505,0.01513671875,4.856565952301025,1475.9400099578231,14.0,,
