comparison,n,mean_diff,sd_diff,diff_boot_ci95_low,diff_boot_ci95_high,cohens_dz,paired_t_stat,paired_t_two_sided_p,paired_t_greater_p,wilcoxon_two_sided_p,wilcoxon_greater_p,seed_diffs
mappo-comm - mappo-no-comm,8,2.82375,2.138588347262656,1.4787395833333332,4.224187499999998,1.3203803357548147,3.7345995566303998,0.007314419965651633,0.0036572099828258166,0.015625,0.0078125,0:5.79;1:-0.236667;2:2.15;3:5.74667;4:3.36333;5:0.973333;6:1.77667;7:3.02667
mappo-intent-aux - mappo-no-comm,8,6.905833333333334,5.127508058393363,3.5820833333333337,10.268749999999999,1.3468205714526338,3.809383836462793,0.006633225438993207,0.0033166127194966034,0.0078125,0.00390625,0:0.73;1:8.03667;2:0.21;3:5.78333;4:15.48;5:9.21333;6:10.8733;7:4.92
mappo-intent-aux - mappo-comm,8,4.082083333333332,6.15925112369693,0.008729166666667159,7.991666666666665,0.6627564376500317,1.8745582853495069,0.10298596199748611,0.051492980998743054,0.1484375,0.07421875,0:-5.06;1:8.27333;2:-1.94;3:0.0366667;4:12.1167;5:8.24;6:9.09667;7:1.89333
