method,n,last5_eval_mean,last5_eval_sd,final_eval_mean,final_eval_sd,msg_acc_mean,msg_acc_sd
mappo-no-comm,8,0.3916666666666667,0.5250185181919248,1.0104166666666667,1.7208326127059486,0.0,0.0
mappo-comm,8,3.2154166666666666,2.4119023233664163,5.90625,5.986419402439555,0.0,0.0
mappo-intent-aux,8,7.2975,4.932907237068604,7.360416666666667,5.429299828429457,0.5681108599499566,0.04351944466812918
