step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.010824476135894656,0.1150864155497402,3.6860258728265762,0.007355918176472187,0.13525390625,0.214982271194458,2381.5917338452546,1.0,,
1024,1.0,500.0,1.0,-0.010294563631759956,0.16590314358472824,3.685976669192314,0.014128819573670626,0.08349609375,0.42397522926330566,2415.2354414178635,2.0,,
1536,3.5,500.0,1.0,-0.009251152689103037,0.19695077277719975,3.681783363223076,0.0041370997205376625,0.05859375,0.6706721782684326,2290.239627899437,3.0,,
2048,0.0,500.0,1.0,-0.01029793021734804,0.05237819906324148,3.6797962337732315,0.0060478453524410725,0.103515625,0.8706591129302979,2352.240928263225,4.0,,
2560,1.5,500.0,1.0,-0.017210358171723783,0.047222840366885066,3.6673285961151123,0.018413901794701815,0.142578125,1.0665929317474365,2400.1659150373916,5.0,,
3072,0.0,500.0,1.0,-0.008947853348217905,0.009829660353716463,3.666404888033867,0.009795254096388817,0.06298828125,1.2745981216430664,2410.17144764024,6.0,,
3584,0.0,500.0,1.0,-0.015872976393438876,0.03709472302580252,3.649548426270485,0.013449674006551504,0.1611328125,1.4846572875976562,2414.025128856046,7.0,,
4096,0.0,500.0,1.0,-0.015346751199103892,0.00507025774277281,3.6690708994865417,0.0019101318903267384,0.09326171875,1.6886701583862305,2425.5772980049123,8.0,,
4608,0.0,500.0,1.0,-0.007435937528498471,0.014848247228655964,3.638923868536949,0.01163407787680626,0.08837890625,1.890639066696167,2437.2711223260276,9.0,,
5120,0.0,500.0,1.0,-0.013025293650571257,0.007979296846315265,3.6449737399816513,0.010920481290668249,0.126953125,2.090815305709839,2448.8054903834477,10.0,,
5632,0.5,500.0,1.0,-0.011463414644822478,0.003461108237388544,3.6138727217912674,0.011149715632200241,0.08837890625,2.2987451553344727,2450.032352185874,11.0,,
6144,0.0,500.0,1.0,-0.013089676562231034,0.0036486023673205636,3.5741374641656876,0.008941786829382181,0.16455078125,2.511136054992676,2446.701359643343,12.0,,
6656,0.0,500.0,1.0,-0.01715952268568799,0.006388291250914335,3.5655846297740936,0.008164080791175365,0.17529296875,2.7216522693634033,2445.5732552332424,13.0,,
7168,0.0,500.0,1.0,-0.017559423577040434,0.04261702299118042,3.583857148885727,0.006281224079430103,0.13623046875,2.926638126373291,2449.2266178745617,14.0,,
7680,5.0,500.0,1.0,-0.013357194256968796,0.03141764353495091,3.557257890701294,0.013757615815848112,0.1630859375,3.1303679943084717,2453.3856766883364,15.0,,
8192,2.0,500.0,1.0,-0.018809370114468038,0.003847438609227538,3.6200361251831055,0.008093336597084999,0.1611328125,3.3292572498321533,2460.6088941949456,16.0,,
8704,0.0,500.0,1.0,-0.019263633294031024,0.008250430400948972,3.596284106373787,0.004374727141112089,0.12548828125,3.529343366622925,2466.1811265840306,17.0,,
9216,0.0,500.0,1.0,-0.007999466964975,0.00629393509007059,3.5494286566972733,0.006771554704755545,0.1376953125,3.7295982837677,2471.04360813086,18.0,,
9728,0.5,500.0,1.0,-0.013499977008905262,0.03781950136180967,3.540562406182289,0.013965594582259655,0.09130859375,3.927947998046875,2476.6111987320432,19.0,,
10240,3.0,500.0,1.0,-0.015667719766497612,0.0028016225551255047,3.546257361769676,0.014759468380361795,0.1669921875,4.13536524772644,2476.202073233989,20.0,,
10752,0.0,500.0,1.0,-0.019246637995820493,0.0024823479470796883,3.5314859747886658,0.020899627823382616,0.177734375,4.343446969985962,2475.45326886649,21.0,,
11264,0.0,500.0,1.0,-0.01407697657123208,0.007571376729174517,3.5797480791807175,0.02048840606585145,0.1572265625,4.547683000564575,2476.8656915184333,22.0,,
11776,1.0,500.0,1.0,-0.0168387817684561,0.01991796604124829,3.5903237760066986,0.013212915044277906,0.14453125,4.7560341358184814,2476.0125061578074,23.0,,
12288,3.0,500.0,1.0,-0.01384858280653134,0.0021222680079517886,3.5804508328437805,0.009119406808167696,0.1103515625,4.956326246261597,2479.2556804081364,24.0,,
12800,0.0,500.0,1.0,-0.01665693282848224,0.0015597727215208579,3.570072114467621,0.009795843157917261,0.11083984375,5.150939226150513,2484.9836967627966,25.0,4.166666666666667,500.0
13312,0.0,500.0,1.0,-0.012712349533103406,0.0018615250519360416,3.567163795232773,0.011153196450322866,0.0927734375,9.659740209579468,1378.0908918025168,26.0,,
13824,0.0,500.0,1.0,-0.011489428579807281,0.001537856507638935,3.5897134989500046,0.006436856463551521,0.07958984375,9.858265161514282,1402.2751238186984,27.0,,
14336,0.0,500.0,1.0,-0.0192858655937016,0.0025074116565519944,3.5468574166297913,0.006102115381509066,0.189453125,10.058390140533447,1425.2777829951713,28.0,,
