seed,interaction_eval,interaction_train
0,-2.4650000000000034,-18.58999999999999
1,-3.3599999999999923,-63.8
2,38.55500000000001,57.05
3,40.75833333333334,148.64000000000001
4,-0.018333333333327317,64.54000000000002
5,-4.114999999999995,-50.390000000000015
6,-7.446666666666668,-36.38000000000001
7,-43.88833333333333,-66.46
