step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
26000,0.0,500.0,0.0,0.0,500.0,1.0,0.40700000000000003,350.0,10.287319898605347,2527.383250084876,52.0,,,
26500,0.0,500.0,0.0,0.0,500.0,1.0,0.40549999999999997,353.0,10.462476968765259,2532.8610117005046,53.0,,,
27000,0.0,500.0,0.0,0.0,500.0,1.0,0.404,354.0,10.635595798492432,2538.6448029387484,54.0,,,
27500,0.0,500.0,0.0,0.0,500.0,1.0,0.40249999999999997,356.0,10.801514863967896,2545.939189671955,55.0,,,
28000,0.0,500.0,0.0,0.0,500.0,1.0,0.401,356.0,10.97374701499939,2551.5441500271872,56.0,,,
28500,0.0,500.0,0.0,0.0,500.0,1.0,0.39949999999999997,356.0,11.138138055801392,2558.7759693062467,57.0,,,
29000,0.0,500.0,0.0,0.0,500.0,1.0,0.398,357.0,11.301991939544678,2565.919366703098,58.0,,,
29500,0.0,500.0,0.0,0.0,500.0,1.0,0.39649999999999996,358.0,11.47202181816101,2571.4734915600875,59.0,,,
30000,0.0,500.0,0.0,0.0,500.0,1.0,0.395,358.0,11.642842054367065,2576.690455810781,60.0,,,
30500,0.0,500.0,0.0,0.0,500.0,1.0,0.3935,361.0,11.816272974014282,2581.1861377165183,61.0,,,
31000,1.0,500.0,1.0,1.0,500.0,1.0,0.392,362.0,12.018980026245117,2579.253807919406,62.0,,,
31500,0.0,500.0,0.0,0.0,500.0,1.0,0.39049999999999996,365.0,12.191888093948364,2583.685132053953,63.0,,,
32000,0.0,500.0,0.0,0.0,500.0,1.0,0.389,365.0,12.36019492149353,2588.955935019617,64.0,,,
32500,1.0,500.0,1.0,1.0,500.0,1.0,0.3875,373.0,12.546958923339844,2590.269100151713,65.0,,,
33000,0.0,500.0,0.0,0.0,500.0,1.0,0.386,374.0,12.716385841369629,2595.076966966717,66.0,,,
33500,0.0,500.0,0.0,0.0,500.0,1.0,0.3845,375.0,12.8871169090271,2599.4953127595277,67.0,,,
34000,0.0,500.0,0.0,0.0,500.0,1.0,0.383,383.0,13.05311393737793,2604.742451733308,68.0,,,
34500,0.0,500.0,0.0,0.0,500.0,1.0,0.3815,384.0,13.224390029907227,2608.815977294798,69.0,,,
35000,0.0,500.0,0.0,0.0,500.0,1.0,0.38,384.0,13.411135196685791,2609.7716178902833,70.0,,,
35500,0.0,500.0,0.0,0.0,500.0,1.0,0.3785,386.0,13.577703952789307,2614.580500755957,71.0,,,
36000,1.0,500.0,1.0,1.0,500.0,1.0,0.377,390.0,13.775905847549438,2613.258278503983,72.0,,,
36500,0.0,500.0,0.0,0.0,500.0,1.0,0.3755,390.0,13.94648003578186,2617.147832740131,73.0,,,
37000,0.0,500.0,0.0,0.0,500.0,1.0,0.374,390.0,14.118538856506348,2620.6677883631723,74.0,,,
37500,1.0,500.0,1.0,1.0,500.0,1.0,0.3725,394.0,14.319153070449829,2618.869971953024,75.0,,,
38000,0.0,500.0,0.0,0.0,500.0,1.0,0.371,395.0,14.495373964309692,2621.5260188224925,76.0,,,
38500,0.0,500.0,0.0,0.0,500.0,1.0,0.3695,395.0,14.666409015655518,2625.0461144853894,77.0,,,
39000,0.0,500.0,0.0,0.0,500.0,1.0,0.368,395.0,14.900420904159546,2617.3757272261287,78.0,,,
39500,0.0,500.0,0.0,0.0,500.0,1.0,0.3665,397.0,15.071280002593994,2620.8789162699823,79.0,,,
40000,0.0,500.0,0.0,0.0,500.0,1.0,0.365,406.0,15.24121618270874,2624.462478616389,80.0,,,
40500,0.0,500.0,0.0,0.0,500.0,1.0,0.3635,407.0,15.417278051376343,2626.9228501320604,81.0,,,
41000,0.0,500.0,0.0,0.0,500.0,1.0,0.362,412.0,15.588443040847778,2630.153626796728,82.0,,,
41500,0.0,500.0,0.0,0.0,500.0,1.0,0.3605,417.0,15.760623931884766,2633.144485862822,83.0,,,
42000,0.0,500.0,0.0,0.0,500.0,1.0,0.359,417.0,15.933298110961914,2635.989090739758,84.0,,,
42500,0.0,500.0,0.0,0.0,500.0,1.0,0.35750000000000004,419.0,16.109426975250244,2638.206813022895,85.0,,,
43000,0.0,500.0,0.0,0.0,500.0,1.0,0.356,419.0,16.28148603439331,2641.036568109693,86.0,,,
43500,0.0,500.0,0.0,0.0,500.0,1.0,0.35450000000000004,422.0,16.457507848739624,2643.170545614012,87.0,,,
44000,0.0,500.0,0.0,0.0,500.0,1.0,0.353,426.0,16.626075983047485,2646.44526133911,88.0,,,
