step,train/ep_return,train/ep_length,train/ep_deliveries,train/ep_return_mean,train/ep_length_mean,train/n_episodes,train/epsilon,hrl/q_table_size,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean,eval/ep_deliveries_mean
26000,0.0,500.0,0.0,0.0,500.0,1.0,0.40700000000000003,396.0,5.331841945648193,4876.363602867296,52.0,,,
26500,0.0,500.0,0.0,0.0,500.0,1.0,0.40549999999999997,403.0,5.4193949699401855,4889.84474226142,53.0,,,
27000,0.0,500.0,0.0,0.0,500.0,1.0,0.404,406.0,5.507842063903809,4902.101346904478,54.0,,,
27500,1.0,500.0,1.0,1.0,500.0,1.0,0.40249999999999997,413.0,5.609482049942017,4902.413405580692,55.0,,,
28000,0.0,500.0,0.0,0.0,500.0,1.0,0.401,415.0,5.695662021636963,4916.022034599703,56.0,,,
28500,0.0,500.0,0.0,0.0,500.0,1.0,0.39949999999999997,418.0,5.77816104888916,4932.365117354952,57.0,,,
29000,1.0,500.0,1.0,1.0,500.0,1.0,0.398,424.0,5.8671112060546875,4942.807283092376,58.0,,,
29500,0.0,500.0,0.0,0.0,500.0,1.0,0.39649999999999996,431.0,5.953402042388916,4955.149978106058,59.0,,,
30000,0.0,500.0,0.0,0.0,500.0,1.0,0.395,432.0,6.036366939544678,4969.876798487485,60.0,,,
30500,0.0,500.0,0.0,0.0,500.0,1.0,0.3935,436.0,6.122213125228882,4981.858582203432,61.0,,,
31000,0.0,500.0,0.0,0.0,500.0,1.0,0.392,438.0,6.207027196884155,4994.3393216581335,62.0,,,
31500,0.0,500.0,0.0,0.0,500.0,1.0,0.39049999999999996,443.0,6.301362037658691,4998.919251385215,63.0,,,
32000,0.0,500.0,0.0,0.0,500.0,1.0,0.389,446.0,6.386636972427368,5010.461709057774,64.0,,,
32500,1.0,500.0,1.0,1.0,500.0,1.0,0.3875,452.0,6.483596086502075,5012.650320346201,65.0,,,
33000,0.0,500.0,0.0,0.0,500.0,1.0,0.386,453.0,6.56974720954895,5023.024318505801,66.0,,,
33500,0.0,500.0,0.0,0.0,500.0,1.0,0.3845,461.0,6.654536247253418,5034.159970775835,67.0,,,
34000,1.0,500.0,1.0,1.0,500.0,1.0,0.383,467.0,6.751266002655029,5036.092487931749,68.0,,,
34500,0.0,500.0,0.0,0.0,500.0,1.0,0.3815,468.0,6.838979959487915,5044.611945694789,69.0,,,
35000,0.0,500.0,0.0,0.0,500.0,1.0,0.38,470.0,6.931762218475342,5049.221092251825,70.0,,,
35500,0.0,500.0,0.0,0.0,500.0,1.0,0.3785,474.0,7.016233921051025,5059.694474194802,71.0,,,
36000,0.0,500.0,0.0,0.0,500.0,1.0,0.377,476.0,7.101298093795776,5069.495678748127,72.0,,,
36500,0.0,500.0,0.0,0.0,500.0,1.0,0.3755,477.0,7.18728494644165,5078.412818190932,73.0,,,
37000,0.0,500.0,0.0,0.0,500.0,1.0,0.374,477.0,7.278825998306274,5083.237325443637,74.0,,,
37500,0.0,500.0,0.0,0.0,500.0,1.0,0.3725,480.0,7.364771127700806,5091.807925836665,75.0,,,
38000,0.0,500.0,0.0,0.0,500.0,1.0,0.371,487.0,7.449734210968018,5100.853120914536,76.0,,,
38500,0.0,500.0,0.0,0.0,500.0,1.0,0.3695,489.0,7.535741090774536,5108.986566315657,77.0,,,
39000,0.0,500.0,0.0,0.0,500.0,1.0,0.368,494.0,7.621628046035767,5117.0169633619225,78.0,,,
39500,0.0,500.0,0.0,0.0,500.0,1.0,0.3665,498.0,7.708497047424316,5124.2154932391595,79.0,,,
40000,0.0,500.0,0.0,0.0,500.0,1.0,0.365,500.0,7.793622970581055,5132.401214555776,80.0,,,
40500,0.0,500.0,0.0,0.0,500.0,1.0,0.3635,503.0,7.87772798538208,5141.076218314702,81.0,,,
41000,0.0,500.0,0.0,0.0,500.0,1.0,0.362,503.0,7.963625192642212,5148.409048416907,82.0,,,
41500,0.0,500.0,0.0,0.0,500.0,1.0,0.3605,503.0,8.050004005432129,5155.276937998524,83.0,,,
42000,0.0,500.0,0.0,0.0,500.0,1.0,0.359,504.0,8.136339902877808,5162.026230632852,84.0,,,
42500,0.0,500.0,0.0,0.0,500.0,1.0,0.35750000000000004,506.0,8.223067045211792,5168.387873566872,85.0,,,
43000,0.0,500.0,0.0,0.0,500.0,1.0,0.356,507.0,8.307370901107788,5176.126179013621,86.0,,,
43500,1.0,500.0,1.0,1.0,500.0,1.0,0.35450000000000004,517.0,8.404320001602173,5175.909531253843,87.0,,,
44000,0.0,500.0,0.0,0.0,500.0,1.0,0.353,519.0,8.489701986312866,5182.749650215872,88.0,,,
44500,0.0,500.0,0.0,0.0,500.0,1.0,0.3515,521.0,8.575045108795166,5189.477073929056,89.0,,,
45000,0.0,500.0,0.0,0.0,500.0,1.0,0.35,522.0,8.656743049621582,5198.259870028962,90.0,,,
45500,0.0,500.0,0.0,0.0,500.0,1.0,0.34850000000000003,525.0,8.742830991744995,5204.26393269654,91.0,,,
46000,0.0,500.0,0.0,0.0,500.0,1.0,0.347,527.0,8.851465940475464,5196.8792863624885,92.0,,,
46500,0.0,500.0,0.0,0.0,500.0,1.0,0.34550000000000003,529.0,8.938206911087036,5202.3857203754105,93.0,,,
47000,0.0,500.0,0.0,0.0,500.0,1.0,0.344,529.0,9.024757862091064,5207.895958896115,94.0,,,
47500,0.0,500.0,0.0,0.0,500.0,1.0,0.3425,530.0,9.111180067062378,5213.375177570706,95.0,,,
48000,0.0,500.0,0.0,0.0,500.0,1.0,0.34099999999999997,530.0,9.197609901428223,5218.747099998932,96.0,,,
48500,0.0,500.0,0.0,0.0,500.0,1.0,0.3395,530.0,9.282330989837646,5224.980670598592,97.0,,,
49000,0.0,500.0,0.0,0.0,500.0,1.0,0.33799999999999997,535.0,9.365321159362793,5232.068304567775,98.0,,,
49500,0.0,500.0,0.0,0.0,500.0,1.0,0.3365,536.0,9.45058822631836,5237.769207016184,99.0,,,
50000,0.0,500.0,0.0,0.0,500.0,1.0,0.335,541.0,9.5330491065979,5244.911616514657,100.0,0.2,500.0,0.2
50500,0.0,500.0,0.0,0.0,500.0,1.0,0.3185,566.0,10.48996901512146,4814.122894662838,101.0,,,
