env,method,regime,seed,eval_final,eval_mean_all,train_last50,msg_acc_last50,msg_loss_last50,entropy_last50,updates
rware-small-2ag-easy-v2,mappo-no-comm,baseline,1,0.0,3.125,13.42,0.0,0.0,1.121127258837223,200
rware-small-2ag-easy-v2,mappo-no-comm,baseline,2,0.0,3.125,3.915,0.0,0.0,1.3473704351484777,200
rware-small-2ag-easy-v2,mappo-no-comm,baseline,3,12.5,6.25,17.79,0.0,0.0,0.5685535806231201,200
rware-small-2ag-easy-v2,mappo-no-comm,dropout-only,0,0.0,0.0,0.28,0.0,0.0,0.9466554886102676,200
rware-small-2ag-easy-v2,mappo-no-comm,dropout-only,1,0.0,0.0,3.3,0.0,0.0,1.0812770757824182,200
rware-small-2ag-easy-v2,mappo-no-comm,dropout-only,2,0.0,3.125,2.465,0.0,0.0,1.117009085789323,200
rware-small-2ag-easy-v2,mappo-no-comm,dropout-only,3,0.0,3.125,1.09,0.0,0.0,1.3392471601068974,200
rware-tiny-2ag-easy-v2,mappo-comm,baseline,0,12.4,18.7,57.52,0.0,0.0,2.4296794198453426,200
rware-tiny-2ag-easy-v2,mappo-comm,baseline,1,0.0,15.6,77.91,0.0,0.0,2.7520344614982606,200
rware-tiny-2ag-easy-v2,mappo-comm,baseline,2,0.0,6.25,55.345,0.0,0.0,2.5833403730392455,200
rware-tiny-2ag-easy-v2,mappo-comm,baseline,3,12.4,18.712500000000002,63.315,0.0,0.0,2.451074272096157,200
rware-tiny-2ag-easy-v2,mappo-comm,dropout-only,0,2.3,9.9375,22.69,0.0,0.0,2.6486386708915233,200
rware-tiny-2ag-easy-v2,mappo-comm,dropout-only,1,0.0,12.45,29.525,0.0,0.0,2.129064841195941,200
rware-tiny-2ag-easy-v2,mappo-comm,dropout-only,2,0.0,9.3625,15.665,0.0,0.0,2.3940155789256097,200
rware-tiny-2ag-easy-v2,mappo-comm,dropout-only,3,0.0,6.875,13.6,0.0,0.0,3.070136159658432,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,baseline,0,0.0,18.6875,79.79,0.6301220703125,0.7904033632203936,1.5978844586014747,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,baseline,1,0.0,6.25,55.405,0.6432666015625,0.805769330295734,1.7709822103381156,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,baseline,2,0.0,6.25,42.415,0.592216796875,0.8546324821561575,1.8224934770166874,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,baseline,3,0.0,9.375,74.365,0.618046875,0.8168297600746155,1.6103950916230678,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,dropout-only,0,0.0,6.887499999999999,24.71,0.6384579147584737,0.7490390134602785,1.7442498642206192,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,dropout-only,1,2.4,14.3125,71.1,0.5840201735403389,0.9154636743664741,1.454078844487667,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,dropout-only,2,0.0,6.25,41.615,0.4596930551971309,1.1066822070628404,1.992285843193531,200
rware-tiny-2ag-easy-v2,mappo-intent-aux,dropout-only,3,0.0,6.875,37.885,0.5288407609611749,1.025676208510995,1.6937967006862165,200
rware-tiny-2ag-easy-v2,mappo-no-comm,baseline,0,0.0,9.3625,69.435,0.0,0.0,0.8975075226649643,200
rware-tiny-2ag-easy-v2,mappo-no-comm,baseline,1,0.0,9.3625,90.305,0.0,0.0,0.6876302825752646,200
rware-tiny-2ag-easy-v2,mappo-no-comm,baseline,2,12.35,15.575000000000001,100.88,0.0,0.0,0.550112035498023,200
rware-tiny-2ag-easy-v2,mappo-no-comm,baseline,3,0.0,24.975,76.55,0.0,0.0,0.7644094492122531,200
rware-tiny-2ag-easy-v2,mappo-no-comm,dropout-only,0,4.85,8.0875,41.3,0.0,0.0,0.6585009727953002,200
rware-tiny-2ag-easy-v2,mappo-no-comm,dropout-only,1,4.85,10.575,47.115,0.0,0.0,0.7855261974781752,200
rware-tiny-2ag-easy-v2,mappo-no-comm,dropout-only,2,0.0,9.3125,56.98,0.0,0.0,0.7822146160434932,200
rware-tiny-2ag-easy-v2,mappo-no-comm,dropout-only,3,14.75,14.9125,59.41,0.0,0.0,0.7123066395521164,200
