step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/message_grounding,loss/message_grounding_acc,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,0.0,500.0,1.0,-0.010347972391173244,0.06274398253299296,3.6803369969129562,0.0,0.0,0.010237656650133431,0.1494140625,0.5854392051696777,874.5570769412465,1.0,,
1024,0.0,500.0,1.0,-0.010196229675784707,0.003575964779884089,3.685544937849045,0.0,0.0,-0.0015964072663336992,0.0244140625,1.0882899761199951,940.9256930315543,2.0,,
1536,0.0,500.0,1.0,-0.007042084587737918,0.007154581326176412,3.6705773919820786,0.0,0.0,0.009301806683652103,0.0419921875,1.5824482440948486,970.6478589311357,3.0,,
2048,0.0,500.0,1.0,-0.012348924879916012,0.002813800259900745,3.674899473786354,0.0,0.0,0.005113888764753938,0.04296875,2.0615532398223877,993.4257143785647,4.0,,
2560,0.0,500.0,1.0,-0.009547924506478012,0.0011071436892962083,3.6811643242836,0.0,0.0,-0.0007903737714514136,0.01513671875,2.6743690967559814,957.2351113035551,5.0,,
3072,0.0,500.0,1.0,-0.0060756385792046785,0.0013149675396562088,3.676345556974411,0.0,0.0,-0.00024107890203595161,0.0048828125,3.212160110473633,956.365777030658,6.0,,
3584,0.0,500.0,1.0,-0.008136256830766797,0.0011044632083212491,3.664080962538719,0.0,0.0,0.002986320061609149,0.0517578125,3.7103731632232666,965.9405785714869,7.0,,
4096,0.0,500.0,1.0,-0.008972984040156007,0.0009820190571190324,3.6584442406892776,0.0,0.0,0.0010461586061865091,0.01953125,4.481748342514038,913.929048881479,8.0,,
4608,0.0,500.0,1.0,-0.010878722881898284,0.0035474338801577687,3.6378633081912994,0.0,0.0,0.006543006165884435,0.03515625,5.0759711265563965,907.8065822502276,9.0,,
5120,0.0,500.0,1.0,-0.007855709205614403,0.0024987476826936472,3.548511892557144,0.0,0.0,0.005277126096189022,0.07861328125,5.6032891273498535,913.7490291209672,10.0,,
5632,0.0,500.0,1.0,-0.01578550157137215,0.0007870170520618558,3.6127283722162247,0.0,0.0,0.014516374678350985,0.1015625,6.141901016235352,916.9799358720546,11.0,,
6144,0.0,500.0,1.0,-0.009160930989310145,0.0023973956049303524,3.604710265994072,0.0,0.0,0.004353839554823935,0.041015625,6.716123104095459,914.8134875987337,12.0,,
6656,0.5,500.0,1.0,-0.006617020582780242,0.0017977339011849836,3.6355801969766617,0.0,0.0,-0.0013498510234057903,0.01708984375,7.243531942367554,918.8887483285511,13.0,,
7168,0.0,500.0,1.0,-0.011055882321670651,0.0005827143195347162,3.6083319038152695,0.0,0.0,0.0020918899681419134,0.02880859375,7.911135196685791,906.0646571939369,14.0,,
7680,0.0,500.0,1.0,-0.008419812773354352,0.0008704482552275294,3.5463052690029144,0.0,0.0,0.0026394507149234414,0.03759765625,8.739280223846436,878.7909076360738,15.0,,
8192,0.0,500.0,1.0,-0.0066289694514125586,0.0008353667326446157,3.5725508630275726,0.0,0.0,0.0037390837678685784,0.01953125,9.810920238494873,834.9879319023761,16.0,,
8704,0.0,500.0,1.0,-0.01616087683942169,0.0014810293869231828,3.422197550535202,0.0,0.0,0.01660282170632854,0.2255859375,10.33940601348877,841.8278563241232,17.0,,
9216,0.0,500.0,1.0,-0.010975997429341078,0.00025338207615277497,3.4010591953992844,0.0,0.0,0.010661957901902497,0.12255859375,10.849940299987793,849.405595347872,18.0,,
9728,0.0,500.0,1.0,-0.013737324276007712,0.0002616637234496011,3.357648342847824,0.0,0.0,0.012564748933073133,0.16259765625,11.386441946029663,854.3494136368082,19.0,,
