step,train/ep_return_mean,train/ep_length_mean,train/n_episodes,loss/policy,loss/value,loss/entropy,loss/approx_kl,loss/clip_frac,time/elapsed_s,time/sps,time/update,eval/ep_return_mean,eval/ep_length_mean
512,2.5,500.0,1.0,-0.009756320272572339,0.09757569909561425,1.606736607849598,0.009104118449613452,0.07763671875,1.219675064086914,419.7839367842605,1.0,,
1024,0.5,500.0,1.0,-0.004220963804982603,0.00886701952549629,1.6057118922472,0.008414291078224778,0.02978515625,1.96830415725708,520.2447986631242,2.0,,
1536,0.0,500.0,1.0,-0.005359895993024111,0.0037694001657655463,1.6061416640877724,0.001999193336814642,0.02001953125,3.0643723011016846,501.2445777061053,3.0,,
2048,0.0,500.0,1.0,-0.003645568620413542,0.025899175845552236,1.5982256680727005,0.0014779712073504925,0.02099609375,4.699592113494873,435.782499957639,4.0,,
2560,0.0,500.0,1.0,-0.007493051700294018,0.006426972264307551,1.597601369023323,0.008490426698699594,0.087890625,6.838823080062866,374.3334152718668,5.0,,
3072,5.5,500.0,1.0,-0.006910214840900153,0.08582806889899075,1.5848483517765999,0.00874622433912009,0.0771484375,8.849646091461182,347.1325257813532,6.0,,
3584,1.5,500.0,1.0,-0.0032391968416050076,0.013732169580180198,1.5970170050859451,-0.0011844742111861706,0.00927734375,10.825897932052612,331.05798913813203,7.0,,
4096,2.0,500.0,1.0,-0.011268055532127619,0.014183379767928272,1.5951220244169235,0.0073278427589684725,0.1201171875,13.152806043624878,311.4164374061699,8.0,,
4608,0.0,500.0,1.0,-0.011478564818389714,0.0028341651122900657,1.5895219817757607,0.0065410982351750135,0.12744140625,16.003987073898315,287.928250549228,9.0,,
5120,0.5,500.0,1.0,-0.004524541727732867,0.008745368948439136,1.5899556949734688,0.005766131565906107,0.02490234375,18.35625696182251,278.92396639732254,10.0,,
5632,2.0,500.0,1.0,-0.007926106685772538,0.012051078607328236,1.5834785401821136,0.009471885627135634,0.12744140625,20.217408895492554,278.5718006255316,11.0,,
6144,1.5,500.0,1.0,-0.008390205213800073,0.009419029112905264,1.567404344677925,0.010730175417847931,0.1044921875,23.2138249874115,264.6698682070618,12.0,,
